Architecture
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
C	10820	ARCH	1000	01	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	14	0	Robert E Trumbour (P)	09/06-12/12	ANXCN 106	 
C	10821	ARCH	1000	02	WIT	0.000	STUDIO 01 - LAB	WF	01:00 pm-04:50 pm	14	14	0	Robert E Trumbour (P)	09/06-12/12	ANXNO 009	 
C	10822	ARCH	1000	03	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	14	0	Antonio Furgiuele (P)	09/06-12/12	ANXCN 106	 
C	10823	ARCH	1000	04	WIT	0.000	STUDIO 01 - LAB	WF	01:00 pm-04:50 pm	14	14	0	Antonio Furgiuele (P)	09/06-12/12	ANXNO 009	 
	10826	ARCH	1000	05	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	13	1	Jay H Weber (P)	09/06-12/12	ANXCN 106	 
	10830	ARCH	1000	06	WIT	0.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	14	13	1	Jay H Weber (P)	09/06-12/12	ANXNO 009	 
	10834	ARCH	1000	07	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	13	1	Danyson Fragoso Tavares (P)	09/06-12/12	ANXCN 106	 
	10837	ARCH	1000	08	WIT	0.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	14	13	1	Danyson Fragoso Tavares (P)	09/06-12/12	ANXNO 009	 
C	10839	ARCH	1000	09	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	14	0	Schendy Kernizan (P)	09/06-12/12	ANXCN 106	 
C	10841	ARCH	1000	10	WIT	0.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	14	14	0	Schendy Kernizan (P)	09/06-12/12	ANXNO 009	 
	10853	ARCH	1000	11	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	13	1	Yuna Kim (P)	09/06-12/12	ANXCN 106	 
	10856	ARCH	1000	12	WIT	0.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	14	13	1	Yuna Kim (P)	09/06-12/12	ANXNO 009	 
C	10858	ARCH	1000	13	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	14	0	TBA	09/06-12/12	ANXCN 106	 
C	10860	ARCH	1000	14	WIT	0.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	14	14	0	TBA	09/06-12/12	ANXNO 009	 
	10863	ARCH	1000	15	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	13	1	Lindsey Grace Fortunato (P)	09/06-12/12	ANXCN 106	 
	10865	ARCH	1000	16	WIT	0.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	14	13	1	Lindsey Grace Fortunato (P)	09/06-12/12	ANXNO 009	 
	10868	ARCH	1000	17	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	10	4	Jessica Garnitz (P)	09/06-12/12	ANXCN 106	 
	10870	ARCH	1000	18	WIT	0.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	14	10	4	Jessica Garnitz (P)	09/06-12/12	ANXNO 009	 
	10884	ARCH	1000	19	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	14	6	8	TBA	09/06-12/12	ANXCN 106	 
	10886	ARCH	1000	20	WIT	0.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	14	6	8	TBA	09/06-12/12	ANXNO 009	 
C	10882	ARCH	2000	01	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	15	-1	Lora Kim (P)	09/06-12/12	ANXNO 009	 
C	10883	ARCH	2000	02	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	16	-2	Meliti Dimitra Dikeos (P)	09/06-12/12	ANXNO 009	 
C	10885	ARCH	2000	03	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	15	-1	TBA	09/06-12/12	ANXNO 009	 
C	10887	ARCH	2000	04	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	15	-1	Elen Zurabyan (P)	09/06-12/12	ANXNO 009	 
C	10888	ARCH	2000	05	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	15	-1	Michelle Theresa Hobbs (P)	09/06-12/12	ANXNO 009	 
C	10889	ARCH	2000	06	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	15	-1	Asli Arpak (P)	09/06-12/12	ANXNO 009	 
C	10890	ARCH	2000	07	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	16	-2	John Cochran (P)	09/06-12/12	ANXNO 009	 
C	10880	ARCH	2100	01	WIT	4.000	HISTORY/THEORY 01	T	10:00 am-11:50 am	25	27	-2	Anne-Catrin Schultz (P), Christina Lanzl	09/06-12/12	ANXCN 106	 
 	 	 	 	 	 	 	 	R	10:00 am-11:50 am	 	 	 	Anne-Catrin Schultz (P), Christina Lanzl	09/06-12/12	ANXCN 209	 
C	10881	ARCH	2100	02	WIT	4.000	HISTORY/THEORY 01	T	10:00 am-11:50 am	25	26	-1	Anne-Catrin Schultz (P), Linda R Weld	09/06-12/12	ANXCN 106	 
 	 	 	 	 	 	 	 	R	10:00 am-11:50 am	 	 	 	Anne-Catrin Schultz (P), Linda R Weld	09/06-12/12	ANXCN 201	 
C	11385	ARCH	2100	03	WIT	4.000	HISTORY/THEORY 01	T	10:00 am-11:50 am	25	26	-1	Anne-Catrin Schultz (P), Christina Lanzl	09/06-12/12	ANXCN 106	 
 	 	 	 	 	 	 	 	R	01:00 pm-02:50 pm	 	 	 	Anne-Catrin Schultz (P), Christina Lanzl	09/06-12/12	WILLS 103	 
C	11386	ARCH	2100	04	WIT	4.000	HISTORY/THEORY 01	T	10:00 am-11:50 am	25	26	-1	Anne-Catrin Schultz (P), Linda R Weld	09/06-12/12	ANXCN 106	 
 	 	 	 	 	 	 	 	R	12:00 pm-01:50 pm	 	 	 	Anne-Catrin Schultz (P), Linda R Weld	09/06-12/12	WENTW 306	 
C	10878	ARCH	2200	01	WIT	4.000	TECHNOLOGY 01	WF	10:00 am-11:50 am	54	57	-3	Robert E Trumbour (P)	09/06-12/12	ANXCN 106	 
	10879	ARCH	2200	02	WIT	4.000	TECHNOLOGY 01	WF	10:00 am-11:50 am	54	53	1	TBA	09/06-12/12	ANXCN 106	 
	10877	ARCH	2222	01	WIT	0.000	IDP REGISTRATION	 	TBA	199	111	88	Charles Cimino (P)	09/06-12/12	TBA	 
