Architecture
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
C	20659	ARCH	1500	01	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	15	15	0	John S Ellis (P)	01/06-04/20	ANXCN 106	 
C	20660	ARCH	1500	02	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	15	15	0	John S Ellis (P)	01/06-04/20	ANXNO 009	 
C	20661	ARCH	1500	03	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	15	16	-1	Mark Klopfer (P)	01/06-04/20	ANXCN 106	 
C	20662	ARCH	1500	04	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	15	16	-1	Mark Klopfer (P)	01/06-04/20	ANXNO 009	 
C	20663	ARCH	1500	05	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	15	16	-1	Jay H Weber (P)	01/06-04/20	ANXCN 106	 
C	20664	ARCH	1500	06	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	15	16	-1	Jay H Weber (P)	01/06-04/20	ANXNO 009	 
C	20665	ARCH	1500	07	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	15	15	0	Seth Charlton Berkowitz (P)	01/06-04/20	ANXCN 106	 
C	20666	ARCH	1500	08	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	15	15	0	Seth Charlton Berkowitz (P)	01/06-04/20	ANXNO 009	 
NR	20667	ARCH	1500	09	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	15	13	2	Yuna Kim (P)	01/06-04/20	ANXCN 106	 
NR	20668	ARCH	1500	10	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	15	13	2	Yuna Kim (P)	01/06-04/20	ANXNO 009	 
NR	20669	ARCH	1500	11	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	15	14	1	Danyson Fragoso Tavares (P)	01/06-04/20	ANXCN 106	 
NR	20670	ARCH	1500	12	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	15	14	1	Danyson Fragoso Tavares (P)	01/06-04/20	ANXNO 009	 
C	20671	ARCH	1500	13	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	15	15	0	Schendy Kernizan (P)	01/06-04/20	ANXCN 106	 
C	20672	ARCH	1500	14	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	15	15	0	Schendy Kernizan (P)	01/06-04/20	ANXNO 009	 
C	20673	ARCH	1500	15	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	0	0	0	TBA	01/06-04/20	ANXCN 106	 
C	20674	ARCH	1500	16	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	0	0	0	TBA	01/06-04/20	ANXNO 009	 
C	20675	ARCH	1500	17	WIT	6.000	STUDIO 02	WF	12:00 pm-12:50 pm	15	15	0	Kathryn Davis (P)	01/06-04/20	ANXCN 106	 
C	20676	ARCH	1500	18	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	15	15	0	Kathryn Davis (P)	01/06-04/20	ANXNO 009	 
NR	21254	ARCH	2222	01	WIT	0.000	IDP REGISTRATION	 	TBA	40	28	12	Charles Cimino (P)	01/06-04/20	TBA	 
