Architecture
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
C	11006	ARCH	1000	01	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	15	0	Robert E Trumbour (P)	08/31-12/09	ANXCN 106	 
C	11007	ARCH	1000	02	WIT	0.000	STUDIO 01 - LAB	WF	01:00 pm-04:50 pm	15	15	0	Robert E Trumbour (P)	08/31-12/09	ANXNO 009	 
C	11008	ARCH	1000	03	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	15	0	Robert Cowherd (P)	08/31-12/09	ANXCN 106	 
C	11009	ARCH	1000	04	WIT	0.000	STUDIO 01 - LAB	WF	01:00 pm-04:50 pm	15	15	0	Robert Cowherd (P)	08/31-12/09	ANXNO 009	 
C	11012	ARCH	1000	05	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	15	0	Yuna Kim (P)	08/31-12/09	ANXCN 106	 
C	11016	ARCH	1000	06	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	15	0	Yuna Kim (P)	08/31-12/09	ANXNO 009	 
C	11020	ARCH	1000	07	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	15	0	Jay H Weber (P)	08/31-12/09	ANXCN 106	 
C	11023	ARCH	1000	08	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	15	0	Jay H Weber (P)	08/31-12/09	ANXNO 009	 
C	11025	ARCH	1000	09	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	0	0	0	TBA	08/31-12/09	TBA	 
NR	11027	ARCH	1000	10	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	0	15	TBA	08/31-12/09	ANXCN 305	 
C	11039	ARCH	1000	11	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	15	0	Kyle Schumann (P)	08/31-12/09	ANXCN 106	 
C	11042	ARCH	1000	12	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	15	0	Kyle Schumann (P)	08/31-12/09	ANXNO 009	 
C	11044	ARCH	1000	13	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	15	0	Stephen Sun (P)	08/31-12/09	ANXCN 106	 
C	11046	ARCH	1000	14	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	15	0	Stephen Sun (P)	08/31-12/09	ANXNO 009	 
NR	11049	ARCH	1000	15	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	14	1	Austin A Samson (P)	08/31-12/09	ANXCN 106	 
NR	11051	ARCH	1000	16	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	14	1	Austin A Samson (P)	08/31-12/09	ANXNO 009	 
C	11054	ARCH	1000	17	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	15	0	Danyson Fragoso Tavares (P)	08/31-12/09	ANXCN 106	 
C	11056	ARCH	1000	18	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	15	0	Danyson Fragoso Tavares (P)	08/31-12/09	ANXNO 009	 
NR	11072	ARCH	1000	19	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	13	2	Jacob Michael Bienkiewicz (P)	08/31-12/09	ANXCN 106	 
NR	11074	ARCH	1000	20	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	13	2	Jacob Michael Bienkiewicz (P)	08/31-12/09	ANXNO 009	 
NR	11070	ARCH	2000	01	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	13	1	Meliti Dimitra Dikeos (P)	08/31-12/09	ANXNO 009	 
NR	11071	ARCH	2000	02	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	11	3	Lora Kim (P)	08/31-12/09	ANXNO 009	 
C	11073	ARCH	2000	03	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	15	-1	Jennifer I Lee Michaliszyn (P)	08/31-12/09	ANXNO 009	 
NR	11075	ARCH	2000	04	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	13	1	James P. Allen (P)	08/31-12/09	ANXNO 009	 
C	11076	ARCH	2000	05	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	14	0	David G Kennedy (P)	08/31-12/09	ANXNO 009	 
C	11077	ARCH	2000	06	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	14	0	John Cochran (P)	08/31-12/09	ANXNO 009	 
NR	11078	ARCH	2000	07	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	13	1	Kate Cahill (P)	08/31-12/09	ANXNO 009	 
NR	11068	ARCH	2100	01	WIT	4.000	HISTORY/THEORY 01	TR	10:00 am-11:50 am	65	62	3	Anne-Catrin Schultz (P)	08/31-12/09	ANXCN 106	 
NR	11069	ARCH	2100	02	WIT	4.000	HISTORY/THEORY 01	TR	10:00 am-11:50 am	65	23	42	Matthew B Matteson (P)	08/31-12/09	ANXCN 106	 
NR	11065	ARCH	2200	01	WIT	4.000	TECHNOLOGY 01	WF	10:00 am-11:50 am	54	52	2	Mark Klopfer (P)	08/31-12/09	ANXCN 106	 
NR	11067	ARCH	2200	02	WIT	4.000	TECHNOLOGY 01	WF	10:00 am-11:50 am	54	52	2	Robert E Trumbour (P)	08/31-12/09	ANXCN 106	 
NR	11064	ARCH	2222	01	WIT	0.000	IDP REGISTRATION	 	TBA	199	96	103	Charles Cimino (P)	08/31-12/09	TBA	 
C	11540	ARCH	2990	01	WIT	4.000	INDEPENDENT STUDY ARCHITECTURE	 	TBA	0	1	-1	Michael W Macphail (P)	08/31-12/09	TBA	 
C	11061	ARCH	3000	01	WIT	6.000	STUDIO 05 (URBANISM)	MWF	01:00 pm-04:50 pm	10	14	-4	Manuel Delgado (P)	08/31-12/09	ANXNO 200	 
C	11062	ARCH	3000	02	WIT	6.000	STUDIO 05 (URBANISM)	MWF	01:00 pm-04:50 pm	10	12	-2	Rafael Antonio Urbina Pacini (P)	08/31-12/09	ANXNO 200	 
C	11063	ARCH	3000	03	WIT	6.000	STUDIO 05 (URBANISM)	MWF	01:00 pm-04:50 pm	10	12	-2	Herman Zinter (P)	08/31-12/09	ANXNO 200	 
C	11058	ARCH	3025	01	WIT	6.000	STUDIO 05 (EMERGING TECH)	MWF	01:00 pm-04:50 pm	10	15	-5	Troy Nolan Peters (P)	08/31-12/09	ANXNO 200	 
C	11059	ARCH	3025	02	WIT	6.000	STUDIO 05 (EMERGING TECH)	MWF	01:00 pm-04:50 pm	10	15	-5	Aaron Joseph Weinert (P)	08/31-12/09	ANXNO 200	 
C	11050	ARCH	3050	01	WIT	6.000	STUDIO 05 (ADAPT INTRVENTIONS)	MWF	01:00 pm-04:50 pm	11	11	0	Ann Pitt (P)	08/31-12/09	ANXNO 200	 
C	11052	ARCH	3050	02	WIT	6.000	STUDIO 05 (ADAPT INTRVENTIONS)	MWF	01:00 pm-04:50 pm	11	16	-5	Charles Cimino (P)	08/31-12/09	ANXNO 200	 
C	11053	ARCH	3050	03	WIT	6.000	STUDIO 05 (ADAPT INTRVENTIONS)	MWF	01:00 pm-04:50 pm	11	13	-2	Paul M. Fowler (P)	08/31-12/09	ANXNO 200	 
NR	11055	ARCH	3050	04	WIT	6.000	STUDIO 05 (ADAPT INTRVENTIONS)	MWF	01:00 pm-04:50 pm	11	0	11	TBA	08/31-12/09	ANXNO 200	 
C	11057	ARCH	3050	05	WIT	6.000	STUDIO 05 (ADAPT INTRVENTIONS)	MWF	01:00 pm-04:50 pm	11	14	-3	Alberto Javier Cabre (P)	08/31-12/09	ANXNO 200	 
C	11048	ARCH	3200	01	WIT	4.000	TECHNOLOGY 03	WF	08:00 am-09:50 am	65	65	0	Troy Nolan Peters (P)	08/31-12/09	ANXCN 106	 
NR	11079	ARCH	3200	02	WIT	4.000	TECHNOLOGY 03	WF	08:00 am-09:50 am	65	59	6	Daniel Gelormini (P)	08/31-12/09	ANXCN 106	 
NR	11043	ARCH	3400	01	WIT	3.000	STRUCTURES I	TR	09:30 am-10:50 am	45	44	1	Garrick N. Goldenberg (P)	08/31-12/09	BEATT 401	 
NR	11045	ARCH	3400	02	WIT	3.000	STRUCTURES I	TR	11:00 am-12:20 pm	45	44	1	Garrick N. Goldenberg (P)	08/31-12/09	BEATT 401	 
NR	11047	ARCH	3400	03	WIT	3.000	STRUCTURES I	TR	12:30 pm-01:50 pm	45	35	10	Garrick N. Goldenberg (P)	08/31-12/09	BEATT 401	 
C	11036	ARCH	3700	01	WIT	4.000	VISUAL PERCEPTION OF THE CITY: LESSONS FROM BOSTON	TF	10:00 am-11:50 am	26	26	0	Manuel Delgado (P)	08/31-12/09	WENTW 207	 
NR	11037	ARCH	3700	02	WIT	4.000	PERFORMANCE DRIVE DES - LIGHT	TF	10:00 am-11:50 am	20	19	1	Sotirios Kotsopoulos (P)	08/31-12/09	ANXNO 103	 
C	11038	ARCH	3700	03	WIT	4.000	PROTOTYPE	TF	10:00 am-11:50 am	20	20	0	Jared T Ramsdell (P)	08/31-12/09	ANXCN 314	 
C	11040	ARCH	3700	04	WIT	4.000	REIMAGING MODERN GOV CENTER	TF	10:00 am-11:50 am	15	15	0	Mark Pasnik (P)	08/31-12/09	BEATT 419	 
